Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
FRI - MID, 2/28/2020, 315, 4181, 09867, , , , , ,
FRI - EVE, 2/28/2020, 937, 3927, 59540, , , 17 27 28 31 36 $120000.00, 2 3 14 41 64 +17 x2 $60.00 M/0, ,
SAT - MID, 2/29/2020, 270, 0776, 32873, , , , , ,
SAT - EVE, 2/29/2020, 194, 3626, 73095, 21 28 33 36 43 48 $10.20 M/0, 356117, 2 6 31 32 33 $130000.00, , 24 44 46 50 51 +13 x3 $80.00 M/0,
SUN - MID, 3/1/2020, 446, 3462, 31977, , , , , ,
SUN - EVE, 3/1/2020, 937, 3695, 77738, , , 4 11 20 27 35 $149000.00, , ,
MON - MID, 3/2/2020, 895, 3898, 53920, , , , , ,
MON - EVE, 3/2/2020, 095, 1126, 99111, 2 5 13 20 23 45 $10.30 M/0, 623768, 7 8 9 19 37 $100000.00, , ,6 13 24 32 40 +130
TUE - MID, 3/3/2020, 295, 1310, 56833, , , , , ,
TUE - EVE, 3/3/2020, 905, 7409, 58107, , , 2 8 13 26 27 $110000.00, 8 12 33 56 64 +2 x2 $65.00 M/0, ,
WED - MID, 3/4/2020, 048, 9839, 73772, , , , , ,
WED - EVE, 3/4/2020, 892, 1398, 31716, 16 20 32 34 44 45 $10.40 M/0, 797049, 5 8 13 20 30 $100000.00, , 18 43 58 60 68 +14 x2 $90.00 M/0,
THU - MID, 3/5/2020, 021, 7525, 53801, , , , , ,
THU - EVE, 3/5/2020, 489, 2836, 49952, , , 2 7 22 38 39 $110000.00, , ,6 8 9 36 47 +70
FRI - MID, 3/6/2020, 525, 4706, 76910, , , , , ,
FRI - EVE, 3/6/2020, 537, 8710, 64227, , , 5 7 10 11 22 $120000.00, 15 48 56 58 70 +4 x4 $70.00 M/0, ,
SAT - MID, 3/7/2020, 392, 4942, 76499, , , , , ,
